,raceId,dnf,overtakings,top5_battle,rvp,points
0,879,6,228,27.91112874429677,9,9.45
1,1020,7,159,72.95947265625,11,9.44
2,843,1,191,31.969706632653047,10,9.24
3,906,11,126,23.286326530612243,19,9.19
4,910,6,160,41.46755102040816,10,9.14
5,936,4,141,23.30896870405377,20,9.11
6,942,8,111,9.989477040816322,9,9.1
7,847,7,236,47.41755102040816,7,9.1
8,902,6,164,12.743613419513702,8,9.1
9,1018,0,90,6.2622495536599905,7,8.88
10,877,7,132,40.23471074380166,4,8.85
11,976,7,99,80.36678200692046,12,8.79
12,867,6,183,43.14558325638656,19,8.78
13,878,2,123,17.85363520408164,9,8.77
14,1029,4,158,23.595318389208494,41,8.77
15,1006,6,80,10.227997448979602,8,8.76
16,35,2,114,7.076770482047228,10,8.76
17,952,5,162,5.136822773186412,12,8.71
18,344,5,166,11.684897959183674,10,8.67
19,998,6,107,15.124999999999991,2,8.65
20,862,1,208,47.021045918367335,14,8.65
21,338,10,83,35.17895362663495,24,8.64
22,991,1,125,7.797831632653061,7,8.62
23,1019,3,84,4.154955621301776,7,8.56
24,992,7,95,25.429450211457123,13,8.54
25,1011,4,135,5.632502308402588,10,8.51
26,861,3,172,34.853316326530596,16,8.45
27,850,4,144,4.810277777777782,6,8.43
28,927,5,165,35.05452806122451,8,8.37
29,349,4,107,4.344008264462807,0,8.37
30,851,4,164,6.145510204081634,11,8.34
31,340,7,126,32.13297193877548,12,8.33
32,990,3,140,9.184364419821481,15,8.32
33,1002,4,84,19.624777500889977,5,8.31
34,16,6,110,23.822654235270768,9,8.31
35,864,5,194,8.060835629017465,13,8.27
36,866,4,140,16.877959183673475,27,8.2
37,23,6,117,14.00069252077563,15,8.18
38,1023,3,112,2.6785332858668576,12,8.18
39,1008,2,112,10.760960126958935,16,8.18
40,26,7,117,25.026392878802394,13,8.16
41,31,1,128,21.453898184407254,39,8.15
42,999,5,144,14.195143684562268,13,8.14
43,997,6,94,5.731284447125409,19,8.12
44,956,6,184,11.108510216226948,8,8.1
45,963,6,115,18.71077806122449,8,8.01
46,343,5,90,3.286860879904876,23,7.98
47,1021,1,89,0.6927736412775575,9,7.97
48,849,5,125,6.099852071005917,6,7.96
49,971,7,91,7.763619575253924,10,7.96
50,934,7,69,8.086538461538463,4,7.95
51,967,6,149,31.85121999603254,15,7.94
52,1,8,132,36.853448275862085,27,7.94
53,973,4,77,2.124057682798941,9,7.87
54,909,4,165,17.631098240142556,22,7.86
55,950,0,237,65.93016581632651,33,7.85
56,12,6,84,9.973140495867767,13,7.85
57,908,5,96,13.330991124260347,10,7.85
58,883,1,208,28.978762696214215,22,7.83
59,24,7,111,69.8306122448979,21,7.81
60,985,4,97,7.707270408163266,13,7.78
61,842,8,171,15.270727040816324,18,7.78
62,852,5,158,45.725723140495845,7,7.77
63,911,5,138,19.05836776859504,16,7.76
64,948,6,106,14.748538011695892,12,7.76
65,953,7,103,8.270216962524643,7,7.75
66,30,4,105,10.292871900826444,16,7.74
67,880,4,183,15.357609988109392,12,7.7
68,846,7,131,19.4158448389218,8,7.68
69,890,5,154,13.022448979591832,13,7.68
70,860,10,129,6.045778834720572,4,7.66
71,888,3,174,13.303888888888892,15,7.64
72,872,5,173,20.59166963332146,32,7.64
73,18,16,77,10.700951248513679,11,7.61
74,968,5,125,20.295537190082626,18,7.59
75,855,1,181,10.236383054467783,10,7.57
76,975,5,86,16.0404081632653,16,7.55
77,353,9,104,7.342148760330579,8,7.54
78,970,5,97,5.245535714285716,9,7.53
79,853,9,96,4.405838376646493,10,7.49
80,871,6,122,22.798553719008268,22,7.47
81,1022,4,111,10.623966942148757,8,7.44
82,983,2,94,7.517219387755097,10,7.43
83,912,2,109,14.702741189035244,2,7.42
84,882,4,182,23.22225765306122,15,7.41
85,887,4,205,52.77958579881656,5,7.39
86,949,5,179,10.012311480455516,13,7.38
87,929,3,123,3.276084949215143,10,7.37
88,894,3,158,10.341818181818182,4,7.35
89,895,3,143,7.619793520825909,15,7.34
90,916,3,103,3.6151147959183705,16,7.33
91,845,3,200,9.272679783309146,13,7.32
92,844,2,209,7.972651605231863,8,7.31
93,960,5,108,11.867252066115691,14,7.25
94,917,1,183,20.723269192620535,6,7.22
95,346,4,118,7.3750000000000036,22,7.2
96,351,9,102,8.33163128191347,8,7.19
97,27,3,123,67.07418133214527,14,7.18
98,899,3,153,5.526681214044839,8,7.14
99,962,4,152,18.10696049449072,9,7.1
100,944,2,131,0.5183820832439314,7,4.57
101,34,3,107,5.6249999999999964,6,4.45
102,1016,2,80,3.274285714285715,12,4.43
103,995,3,64,0.9948096885813164,6,4.24
104,915,2,94,36.37023851904588,13,4.06
105,29,3,77,2.3404124345952613,9,3.98
106,848,0,132,1.995075407817791,3,3.87
107,988,2,72,1.0287603305785114,5,3.74
108,347,5,79,3.275116952550673,6,3.74
109,1017,1,85,1.0402278390886428,8,3.47
110,1014,2,81,1.870293847566574,0,4.6
111,1012,3,101,1.620216836734694,11,4.8
112,1013,4,112,7.751633986928103,8,5.4
113,1030,1,96,11.799008264462804,8,5.6
114,1025,5,85,19.797080811676743,4,5.8
115,1024,3,122,17.300188121472722,17,6.2
116,1015,1,56,2.0213675213675213,20,6.3
117,1010,3,65,2.6831153388822826,5,6.3
118,1027,2,116,7.179527871454077,12,6.6
119,1026,3,116,3.7274408284023663,19,6.9
120,1028,4,121,25.978635204081638,13,7.0
121,989,5,47,8.396848989298453,10,6.1
122,993,6,72,5.7617079889807155,12,4.81
123,994,3,68,0.6867192636423416,24,5.09
124,996,5,90,19.111427554289804,8,6.37
125,1000,3,74,11.106530612244867,9,6.06
126,1001,5,53,15.488636363636372,8,5.31
127,1003,1,77,4.297231926901367,13,4.98
128,1004,2,78,11.050907796368806,5,4.8
129,1005,3,106,7.14702741189035,12,6.77
130,1007,4,115,4.418694420041375,13,6.72
131,1009,5,92,10.77752066115702,12,6.58
132,969,7,49,2.3693444136657438,10,6.41
133,972,4,41,0.7536982248520712,9,4.9
134,974,7,50,2.3450032873109814,11,4.94
135,977,4,52,1.9892878397143399,12,5.82
136,978,3,86,14.55901576316801,5,6.63
137,979,4,56,3.1179591836734666,9,5.94
138,980,4,109,3.0934917355371905,4,6.73
139,981,4,109,12.59238163047347,9,5.93
140,982,8,61,5.211652794292514,2,6.41
141,984,5,81,8.175863296546817,14,6.13
142,986,5,84,22.595838370261834,12,6.85
143,987,4,78,13.718309859154934,18,6.74
144,988,2,72,1.0287603305785114,5,3.74
145,964,0,133,6.525453898184406,13,6.98
146,954,3,105,5.857755102040826,13,6.58
147,957,6,92,3.2115384615384635,11,6.48
148,965,4,125,5.6667729591836755,16,6.04
149,966,1,108,19.75401706010711,13,5.94
150,959,2,160,3.4355090220539077,8,5.81
151,951,4,93,3.0800996796012807,7,5.4
152,958,1,112,1.7710204081632657,6,5.05
153,961,4,122,3.286578853684582,16,4.94
154,955,4,157,8.207612456747402,9,4.73
155,941,7,98,12.4122463510146,14,6.97
156,939,6,103,1.5092717011556025,12,6.55
157,937,6,97,7.798810167658192,20,6.39
158,928,4,109,0.8048469387755093,5,5.72
159,938,2,84,7.215379138483444,10,5.64
160,931,3,55,2.8453320184089415,10,5.63
161,933,6,62,2.005951200158698,4,5.6
162,932,3,85,21.241632653061238,14,5.54
163,943,4,88,6.872445943265221,2,5.44
164,945,1,106,8.437024793388437,11,5.25
165,940,1,109,2.293342826628692,3,5.21
166,930,2,117,2.118916437098255,8,5.15
167,926,7,46,1.3058858501783601,7,4.75
168,944,2,131,0.5183820832439314,7,4.57
169,900,8,74,14.363188673437978,11,6.89
170,901,7,121,2.277104591836734,7,5.9
171,903,2,111,4.285076530612244,4,5.47
172,904,2,138,20.86914600550963,10,6.45
173,905,8,68,3.2518535133420197,10,7.04
174,907,3,150,8.43681809164848,5,6.7
175,913,5,140,3.3816666666666677,22,6.43
176,915,2,94,36.37023851904588,13,4.06
177,918,3,140,25.299834710743795,13,6.49
178,881,6,172,8.06313775510204,20,6.83
179,896,4,164,58.548611111111065,20,6.5
180,886,3,111,2.444897959183674,8,6.4
181,885,7,88,4.981755424063122,8,6.1
182,893,4,151,27.653856490190815,22,5.97
183,884,3,206,15.505050505050505,17,5.95
184,892,2,105,2.872196511213959,21,5.84
185,891,3,137,4.605888429752065,8,5.69
186,898,1,77,1.2142857142857133,7,5.4
187,897,1,136,15.010909090909099,12,5.02
188,869,1,177,11.751837825796384,23,7.06
189,868,3,134,10.936390532544381,13,7.05
190,863,4,189,9.020621729762993,10,6.9
191,874,5,120,3.655393378426484,11,6.38
192,873,6,196,11.320310255673656,16,6.0
193,870,2,121,5.246376811594201,22,5.98
194,865,9,83,5.521531886916497,15,5.44
195,876,3,93,1.729444444444445,12,5.19
