raceId,year,name,points
879,2012,Brazilian Grand Prix,9.45
1020,2019,German Grand Prix,9.44
843,2011,Chinese Grand Prix,9.24
906,2014,Canadian Grand Prix,9.19
910,2014,Hungarian Grand Prix,9.14
936,2015,Hungarian Grand Prix,9.11
942,2015,United States Grand Prix,9.1
847,2011,Canadian Grand Prix,9.1
902,2014,Bahrain Grand Prix,9.1
1018,2019,Austrian Grand Prix,8.88
877,2012,Abu Dhabi Grand Prix,8.85
976,2017,Azerbaijan Grand Prix,8.79
867,2012,European Grand Prix,8.78
878,2012,United States Grand Prix,8.77
1029,2019,Brazilian Grand Prix,8.77
1006,2018,United States Grand Prix,8.76
35,2008,Brazilian Grand Prix,8.76
952,2016,Spanish Grand Prix,8.71
344,2010,Canadian Grand Prix,8.67
998,2018,British Grand Prix,8.65
862,2012,Chinese Grand Prix,8.65
338,2010,Australian Grand Prix,8.64
991,2018,Chinese Grand Prix,8.62
1019,2019,British Grand Prix,8.56
992,2018,Azerbaijan Grand Prix,8.54
1011,2019,Bahrain Grand Prix,8.51
861,2012,Malaysian Grand Prix,8.45
850,2011,German Grand Prix,8.43
927,2015,Malaysian Grand Prix,8.37
349,2010,Belgian Grand Prix,8.37
851,2011,Hungarian Grand Prix,8.34
340,2010,Chinese Grand Prix,8.33
990,2018,Bahrain Grand Prix,8.32
1002,2018,Italian Grand Prix,8.31
16,2009,Brazilian Grand Prix,8.31
864,2012,Spanish Grand Prix,8.27
866,2012,Canadian Grand Prix,8.2
23,2008,Monaco Grand Prix,8.18
1023,2019,Italian Grand Prix,8.18
1008,2018,Brazilian Grand Prix,8.18
26,2008,British Grand Prix,8.16
31,2008,Italian Grand Prix,8.15
999,2018,German Grand Prix,8.14
997,2018,Austrian Grand Prix,8.12
956,2016,Austrian Grand Prix,8.1
963,2016,Malaysian Grand Prix,8.01
343,2010,Turkish Grand Prix,7.98
1021,2019,Hungarian Grand Prix,7.97
849,2011,British Grand Prix,7.96
971,2017,Bahrain Grand Prix,7.96
934,2015,British Grand Prix,7.95
967,2016,Brazilian Grand Prix,7.94
1,2009,Australian Grand Prix,7.94
973,2017,Spanish Grand Prix,7.87
909,2014,German Grand Prix,7.86
950,2016,Chinese Grand Prix,7.85
12,2009,Belgian Grand Prix,7.85
908,2014,British Grand Prix,7.85
883,2013,Bahrain Grand Prix,7.83
24,2008,Canadian Grand Prix,7.81
985,2017,United States Grand Prix,7.78
842,2011,Malaysian Grand Prix,7.78
852,2011,Belgian Grand Prix,7.77
